date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:48:17	69852/69852	---M--	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2009:55:28%20GMT	http://stacksthemes.com/modern/admin1/index.html	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/index.html	(from )
20:48:17	327/327	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2024%20Feb%202019%2013:48:14%20GMT	http://stacksthemes.com/robots.txt		(from )
20:48:17	2191/2191	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Sep%202018%2009:59:27%20GMT	http://stacksthemes.com/modern/admin1/assets/plugins/pace-master/themes/blue/pace-theme-flash.css	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/assets/plugins/pace-master/themes/blue/pace-theme-flash.css	(from http://stacksthemes.com/modern/admin1/index.html)
20:48:17	8337/8337	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Sep%202018%2009:58:11%20GMT	http://stacksthemes.com/modern/admin1/assets/plugins/uniform/css/uniform.default.min.css	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/assets/plugins/uniform/css/uniform.default.min.css	(from http://stacksthemes.com/modern/admin1/index.html)
20:48:19	28747/28747	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Sep%202018%2009:58:08%20GMT	http://stacksthemes.com/modern/admin1/assets/plugins/fontawesome/css/font-awesome.css	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/assets/plugins/fontawesome/css/font-awesome.css	(from http://stacksthemes.com/modern/admin1/index.html)
20:48:20	11032/11032	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Sep%202018%2009:57:12%20GMT	http://stacksthemes.com/modern/admin1/assets/plugins/line-icons/simple-line-icons.css	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/assets/plugins/line-icons/simple-line-icons.css	(from http://stacksthemes.com/modern/admin1/index.html)
20:48:20	122540/122540	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Sep%202018%2009:58:06%20GMT	http://stacksthemes.com/modern/admin1/assets/plugins/bootstrap/css/bootstrap.min.css	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/assets/plugins/bootstrap/css/bootstrap.min.css	(from http://stacksthemes.com/modern/admin1/index.html)
20:48:21	1991/1991	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Sep%202018%2009:58:16%20GMT	http://stacksthemes.com/modern/admin1/assets/plugins/offcanvasmenueffects/css/menu_cornerbox.css	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/assets/plugins/offcanvasmenueffects/css/menu_cornerbox.css	(from http://stacksthemes.com/modern/admin1/index.html)
20:48:21	3251/3251	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Sep%202018%2009:57:15%20GMT	http://stacksthemes.com/modern/admin1/assets/plugins/waves/waves.min.css	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/assets/plugins/waves/waves.min.css	(from http://stacksthemes.com/modern/admin1/index.html)
20:48:21	472/472	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Sep%202018%2009:57:16%20GMT	http://stacksthemes.com/modern/admin1/assets/plugins/switchery/switchery.min.css	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/assets/plugins/switchery/switchery.min.css	(from http://stacksthemes.com/modern/admin1/index.html)
